review_id;review;rating
29;I received 4 pairs .. pajamas 1 is small in size. Although correct weight if compare to the mall more expensive prize. The thin fabric.;1
30;Within their guns at photo quality good product delivery speed well priced good product just dapet 3 pcs;1
31;sounds just next door. next to die. and a lot of peeling rubber.;1
32;Delivery was fast but very disappointed when I open the box.I specifically told the seller to check for damage after placing my order,but end up I received the item with damage and rust.I mg the seller but no response,worst customer service.please don't buy from this seller.;1
33;The tube sleeve to struggle out y'all sir. I put ?k on foot but also wide attention. Zide M and know ?????? poor product packaging. Calico ball stick in pockets. Torn corner. Austria no labels at all. Bad smell.;1
34;The products do not original.;1
35;First time buyers but torn pants;1
36;Disappointed because of the message that comes maroon black and navy not the same reply size with another one dress size too small. Before being sent to be checked first.;1
37;The product quality is not good. Defective product pinggirnya??;1
38;Tipisssss sangatttt clothes, color putihny very dreamy ...;1
39;Her nut missing cap can not be used, tlg send his nuts;1
40;Item different from picture Will not order again...poor quality, misleading!;1
41;A good one is pretty good sound quality have sent Clemson 2 return 2 pieces without any details. Tesco agreed to send back the goods first. No, it's pouring Gave a very slow response;1
42;Speed ??of delivery is good. Color is not appropriate, who asked what color sent what. The response is not very good seller. Disappointingly, kapok.;1
43;Yung I would order but no one came. I did communicate well with them, but others still sent .. ok i live more than selling you order 50pcs kc mrurumi they shop and more.;1
44;Until the goods already, but I accept gx altogether. I regret spending here, ngartis also that the selling !!!;1
45;The blouse does not look exactly like the picture. Loose shoulders and he hardly the same cloth. :(;1
46;Did not inform the buyer of the goods on the bag with a direct refund, originally set two clocks (want to save a sum of freight) But only sent a (not my original choice of color), private news ask you what does not reply Bad shopping experience;1
47;Dateng goods cuman late fill empty cardboard doang Artisan herbal bgt ga mandate jgn rich until there is apt w loss of money ga ga .... how but sin lo BYK  Spot th duit haram;1
48;The response is not good seller, already d chat repeatedly, either to the goods or other goods, the seller no response tp, d not explain dlm PO item description or ready stock If indeed PO, at least buyers know .. The seller no response at all ;1
49;Her new dateng hours cohabited. The first liver fitting disposable needles path length. But ga needle short length of road. How atuh how come so. In the chat again orabgnya ga bales. Yes seengganya bales so apologetic kek what how. Sorry I love 2 first.;1
50;Item received today. Functional but full of scratches. Not satisfied with the product received;1
51;Dtangx cut no waiting 6paketku arrived ay gembok.emang not there beresssss sy bru ...... this store value jelllekkkkk .... klo near mgkn I've DTG ktokox. Pelayanannnnn jelekkkkk even invite brantem in chat. !!!!;1
52;Upset, because the goods are given already would exp. Please check the web code 7Z01 production is made in 2017 ... And already want exp 4bulan again. Dry and powdering ga;1
53;The shops that never wanted to see again. Convention can only permanently rp. Missing restaurant also calling insulted and threatened guests. Mince for reimbursement under a new bored. Decor Masters;1
54;The product quality is not good.;1
55;Price segituh his seharus the match ga 25k ,, kirain BNR edge side of it there is jaitan kyk x-ride seat turns cuman screen printing on plastic and its materials lapisin thin as well. Going ga this long kepake mh. 2mingu also UDH this faded stencil hopefully should be more careful who buy and sell must nurunin that price,;1
56;Please check back in a neat seblum bgian who have broken;1
57;the goods shipped its contents trash, sly seller, the next world I was not sincere, no response, just that resembles the name of Muhammad, but the attitude of sorts not bermanusia;1
58;His clock was broken ga needle nya??;1
59;The product quality is not good. My shopee its loyal customers, only this time disappointed at stores. Buy 3 items all of her not to order, smoga shopee follow-up shop is that customers who deceive shopee morbidly disappointed. Thanks;1
60;The best I could solder properly because of the narrowness of the space;1
61;The products do not original.;1
62; Speed ??of delivery is good, the seller is not a good response, PHP, satatus not clear, Orders sy ignored. jgn want to buy in this store.;1
63;Products for nothing, bery expensive price of the product quality, long-boiling, summed too bad. Because change delivery process too complicated and boring charges should not bother paying to exhibit corner, useless;1
64;Sorry sy love 2, disappointed krn bgt tp buy a lot being sent does not match the color. PM 20 pcs white color purple tp being sent all without confirmation. It makes morbidly connect with the house so that unused paint.;1
65;Very damage! It suits the price! But also do not you just sell the yang damage! 19 pesos is 19 pesos! Although it pesos worth it! Annoying;1
66;Less good seller response  Bgus but syg wrna material that does not fit pdhl expelled with ash falling on the confirmation SDH captions and chat;1
67;Elle vire'y meleleh..mgkn because the ninth and cardboard heat melted in the ..;1
68;Damaged / defective item not working my selfie stick. Two items I inavail yet.;1
69;Speed ??of delivery is good;1
70;Wrong item received / read in the seller white black oh my order was also given disapppinted poor seller regulate for you not angry costumers understand you better take a look at the orders you have before you ipack sure correct those items that you placed ..;1
71;He does not work. Kakadisappoint, also wasted money.;1
72;This reply will happen can not be used ka .. not the size of an adult. The size of the elementary school children of class 6;1
73;Don ever trust this shop...until now not yet receive the goods....??????????????;1
74;Poor quality Will not order again;1
75;The product quality is not good;1
76;The glass is really small and cannot fit the watch screen.;1
77;Dh stuff up .. but vacuum sealer is not functioning well, take a very long time For vacuum, over 15min For prepare a pack.;1
78;Item noted is color black yet received maroon.;1
79;Not seen 4 pieces donated as advertising;1
80;Her goods not adda. !!!;1
81;Totally cant. accept this kind quality, crack ing at the side;1
82;The product quality is not good.;1
83;Communication satellite unclear goods;1
84;Color does not correspond with the image in the image there are wrinkles that come back no rubber d;1
85;GUE pesen LETTERS LETTERS B instead YG dateng C. GAK DIHUBUNGIN NO ANSWER. LAME KAPOK GUE SHOPPING HERE.;1
86;I thought big :(;1
87;The balloon is deflated that time fell much more, not rubber kenceng;1
88;FIX DISAPPOINTED, first shopping dsni, Zonk !!! Sent not umama VOAL scarf his mouth orange packaging, instead send alesha brand, material bagusan umama sure. because I'm so give color wrong, ask wrna navi 2 pcs in love milo, ask salem 2 pcs in love dusty, whereas this pesenan friend;1
89; Bad quality of goods Poor fabric texture is hard and rough Focus is around the neckline is too small ...... After dragging down will not want to wear it, because uncomfortable Sewn very rough;1
90;Wrong item received;1
91;My goodness this kak ko si sent another model is not a model that I pesen..warna nice army'y tp the different models .. gmna dong kak pdhl pesenan costomer ????;1
92;Standard packaging.. Item missing.. No more response from the seller after receiving the payment..  ??????;1
93;Never before pasting such strenuous effort, but the screen border leaking ship videos follow tiny air bubbles still, unfortunately still acceptable.;1
94;Poor product quality product quality less good..there one part and broken TDK seller shipped to check brngny Prev Jg Kardusnyapun ugly SDH signaling brngnya never unloaded psng;1
95;peeling edges;1
96;Delivered at full sample templates that last k annual dep..nhu remnant;1
97;Mmmmmmmmmmmmaaaanaannnnnnnnnnttttgggguuuiuiuujjjullllllldjdjdjejejeieo doll can not hdp;1
98;Its products 4. 2 for sends. Buy 22, he sent a few days later. Finally until 29th -____- bete bgt. No re-purchase!;1
99;Shoddy version, shoddy verision, difference??;1
100;Goods not in accordance with the image .. button does not work .. goods can not be used .. doang sirens that sound .. can any Ga-apain .. Argh ...;1
101;Speed ??of delivery is good;1
102;Quality Time: 1 Star Packing: 1 Star Shipping: 1 Star Overall rating: 2 stars;1
103;Inappropriate image;1
104;Ga product according to the image y .... Buy 30biji disappointed;1
105;Rcvd parcel in good condition. Very poor quality ribbon. Looks cheap and poor material. ????????????;1
106;Flowers, cotton lint is caught me. Rod was a different color, 3-color wrong. Ordered 2 bunches. See the photos came out pretty. But I really do not have it.;1
107;Product has been successfully trial, not sure whether it is genuine or not, to see my side. Use a dry cloth is also very good spinning very wet. Handle the timer is not strong enough yet to call back.;1
108;Poor product quality is not worth the money Very;1
109;Set delivery shorts trousers because his watch afraid to change the festival should pay!;1
110;blue misplaced in photo :(;1
111;A few times I sent to lack of time. Should check the product carefully before submitting them. I want to be a customer's complete order. Employees of the shop was checked again before the PAC or not. I never thought I would be cheating. I did not, I was not going to tell you what to do.;1
112;Intelligent main cave pai investigation code k hang.buon :-). :-);1
113;Not recomended seller, shipping lamaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, the goods do not fit the image no zipper on the bag over her, fortunately the same message I want to thank her stuff, kapoooooooooooooooooooooooooooooooooooooooooooooooooooooooookkkkkkkkkkkkkkk;1
114;Its rotary screw cap does not fit Plastic bottle makes a mess;1
115;He hnd waterproof glue and fake ... like me ... please please check the item seller .. disappointed ??;1
116;?�o using DC;1
117;Items shipped immediately ko yung soap purely chack tas mbilis melt;1
118;Did not receive item;1
119;Speed ??of delivery is good. The response is not good sellers.;1
120;No lid;1
121;poor service. k k row just told to switch to change shoppe began losing the first ship 2. 30k 50k population is beginning to ship 2 sent via shoppe k 80k sure to send.;1
122;Mantaf boss mksh;1
123;Product quality very much dissatisfied.;1
124;Just now I give 3 krn pandax WRN not pitch-black, opaque kyak gituh, then benangx off jatuh2 not strong, tangled. ..?? Barangx suggestions please carefully good, it just let tokox increasingly in demand. Kan has become subscription ..;1
125;super wide when you short??;1
126;Do not read the terms of expository if the stock is empty shipped existing types. Aja disappointed.;1
127;2X the price is more expensive than other stores, pdhal products are also the same. Continue to step 2 contents baseball mouth full, only half a bottle doang.;1
128;Packing x containers directly. no bubble wrap .. brg bergolek2 dlm box. Abis leaking. Seller please alerts. Sorry forced bg 1 star je ..;1
129;Products not in keeping with the order;1
130;Not the original Winsor & Newton guys it's a China version;1
131;Good seller response but less good product quality is the whiteness Tiipiiis very unlike the navy yesterday that the first order which also called for size L sent XL .. party dress white shirt kayak ... Keeeeceeeewaaaaaaa;1
132;Larger than the sales person informed. Need to send an additional change fee.;1
133;Delivered completely wrong, out of stock notice, guests not agree themselves shipper;1
134;Shipping Old And 1 week More;1
135;I did not glue Ca Ngu little loose. By the second day, and then spread no cars.;1
136;Will not order again! Useless smart earwax!??;1
137;Will not order again;1
138;Poor quality;1
139;Not fit despite minor reservations L size. his 51kg;1
140;Cancel penalty because its shops and get more points because of transport delays.;1
141;I not received the product;1
142;Thin, held in terrible hands. Customers buy the correct this is tha garbage home.;1
143;Terrible value Speed ??of delivery is very poor.;1
144;Its user manual for whom the O's? Nda's in the box? Its use is less than the maximum, even kayaks nda ?????? function dusting etc.;1
145;Shop as mother earth attitude and verbally countryside hotel upon request change delivery =)) in general is how to elderly;1
146;Wrong item received Wrong item received Wrong item received Wrong item received Will not order again Will not order again Will not order again Will not order again Will not order again;1
147;Pattern & Colour not same;1
148;3M wire long, but its name says 13M.;1
149;Th? sp bt quality. Falcon k is only the attitude of the shop. Both are wrong nh yourself and shop when discussing solutions k th? enthusiastic shop. Winding refused. Mistaken delivery form still controversial mortar pestle;1
150;Faulty dirty shirt in hand, just too much excess.;1
151;Ugly di naman change color ..;1
152;goods in 6 messages are sent only 5 and in a paper written JNT Sent items 6 .... really disappointing;1
153;I like dri made of iron / aluminum CMN I try it on TV and when I could not try on the computer instead 1.90TB not 2TB;1
154;Sugan big tea euy, ahhh letikkkkkkk aripek dekahhhhhhhhh;1
155;Sponge powder ko ga;1
156;Order queen but interchangeable single ... very disappointed ????????????;1
157;No extra bubble wrap ... no luck .. Zonk once;1
158;He said buy 1 get 1 free ... But who dateng only 1 wrote ... No gratisnya Ga .... How the hell, lying bgt !!!;1
159;Thin material colors fade. Disappointed;1
160;Shipping by express sameday but the goods until 5 days later;1
161;Her thin mala Kecewa????celana;1
162;The product quality is not good;1
163;Thin really yes god scared broken :(;1
164;This problem is like a sieve tray and insert a smaller time to put it off no longer fit between the compartments. With the solution gradually buy new add baking.;1
165;Very poor product quality;1
166;Other dineliver wtf;1
167;Her Pet Khimar different as early reply q orders in another stall, Continues in his description vol 3, superiors use materials Jersey, tp yg Dateng material is full of cigars ... It's been a long wait, disappointed too ??????;1
168;Revondana but rejected complaints ,,, aneeeeh;1
169;Very poor service by the seller Get interchangeable color color Other Other HBS stock color we ever nk bg la awl2 .. Ni g x..trs post ..;1
170;It is not 10cm thick, less than 5cm.;1
171;Pretty good product quality is very good delivery speed TPI Synk within their morbidly ny said kerudungny pjg sgn disappointed;1
172;Not original krn bekleed / SDH skin replaced, there were traces staplesnya & bgn upper cut no stitches such as the original;1
173;never deliver my order.scam?;1
174;All the biscuits are broken. Very bad packaging. I demand a refund or replacement please;1
175;Shirt with a black jacket over it is not very thin, then wash out is not bad. If you do not have to score to 0.;1
176;Product does not look like pic at all. Very disappointed. The material tends to shed alot too;1
177;Rogue traders goods are not sent;1
178;Goods returned empty but money is not the usual subscription ?? skrg so disappointed. Want to make more sales so first loss since many products are not shipped yet been paid. In the chat not respond.;1
179;2 One of his message Ok. Uh another one of his diselangkangan torn.;1
180;Money as a lump Eraser;1
181;Additional sabunny discrepant image ... disappointing bgt ...;1
182;buy two, the other one Bener size 130x180, 130x147 lg other one. asked he be given the appropriate invoice is yes if appropriate invoice ksh knp 130x147 size :( jelas2 size of 130x180, trs blgnya shipped according to stock. kl diretur bs would refund first, all males bgt ya lg cm psbb Gini out of the house make to send ginian;1
183;"Can not be evaluated using the experience, then you please turn off the evaluation. ""Very good accommodation"" called bad reviews? ";1
184;Pesen shelf shoe rack Dateng hijab that time please check in advance, if not in stock please confirm in advance to the customer. Fix again;1
185;Can not be used;1
186;Ny broken bottle caps, jd customers kecewa??;1
187;Poor product quality very poor Shop serves very unnecessary money. Do not buy products in this shop.;1
188;WHY SO? XXL THE SIZE I ordered, THE LITTLE PADIN. UNISEX BUT JUST LIKE ANY SIZE OF WOMEN'S SIZES. SAYANG MONEY TOL.;1
189;We didn't receive the item!;1
190;Dikirain sizenya big, small turns bgt???? Disappointed ;1
191;stuff to slow ..;1
192;Wrong color received. I ordered for 2 pink. There�s a crack visible on the gray item.�;1
193;Speed ??of delivery is slow. Stores do not chat The service is not okay;1
194;Very poor quality but well, what do you expect... it's cheap.. ;1
195;It looks like the stickers are not sent ya..kecewa 5 percent.;1
196;Wrong size. Damn. Send me size 7 pls;1
197;It stinks too much like paint.;1
198;Khimarnya different sma antecedent photo July kpnjngann very high pdhl I 160;1
199;Old packaging, the goods are not delivered to order in order there select pots 5 tp not sent in question did not in his reply. Poor product packaging of fertilizers which in his plastic message so that its contents torn out fitting package in the open;1
200;Poor value for money Speed ??of delivery Poor.;1
201;Jelekkk quality such as size L size S;1
202;Item did not recieve...;1
203;The adhesive tape is not good;1
204;Very poor product quality and product damaged;1
205;His voice was a bit broken if somewhat kenceng ngak be bold bass;1
206;Fitting mask until pecah2 pdhal existing plastic pke ttol2nya it ...;1
207;Card can transfer data sesetengh dri hp to SD je ... Not all transfer .. .. Moist Amik Synonym MSA 30 minutes for 381mb video folder n gmbr;1
208;This motif is the amount that d send discrepant with that d order;1
209;Very poor product quality ... ????belum apa2 broken again dh ... xde already come very strong ..;1
210;Disappointed bgt bgt old packaging long jg delivery unfavorable product quality good seller response tp Sorry I love 2;1
211;Unexpectedly dropped out of the bag at once ..;1
212;Bajuna there bolongnya, please be d consider again the order not rich gini;1
213;Good printing quality but not with its substance;1
214;Product quality is poor K solution K keep warm q� DC 20 minutes while keeping the solution offering the DC 5-6 hours Assigned color as described indiscriminate k customer selected Serves good attitude k;1
215;NOT AUTHENTIC. DO NOT BUY.;1
216;I order the usb rechargeable but the seller gave me the one that using battery. Bad service.;1
217;Bim you just get there first check the faulty 4 k layer cotton garments should carefully tear off one half r .. Bored ???? Unused As quality should kb;1
218;Really disappointed gk sma like his boss very different picture;1
219;Blank. Waiting for the return .. :);1
220;Edit reviews: glass is beautiful, but very eye wear ie, dizziness, watery eyes with both his always done nothing but hours had fallen out and snails. Beautiful quality code but only 2 ** DC only.;1
221;Never gave less than five stars but really too pulled clothes out to try to open a dead gecko on the spot scared out of their wits inspection found the courage to break a hole for replacement but also pays shipping;1
222;Poor quality;1
223;Order wrna merh TPI another one interchangeable;1
224;Size not fit;1
225;Yupi yupi na yung box;1
226;General merchandise poor quality of delivery speed;1
227;Will not order again;1
228;Packaging is very bad. Potluck really. In the description of the requested not use extra bubble wrap, but fitting ngajuin refund is denied, even blame consumers for not pesen extra bubble wrap. Mas, if you want consumers to buy use bubble wrap, love prompts dong in the description. Bad really.;1
229;Sy ksih 2 deh soalny hasilny and Bauny blom tau kok kyk yng milk powder for small ank;1
230;Good stuff .. But swpertinya checks less .. Krn zipper g No;1
231;The item arrived at courier hub, but deliver only after few days. The item is nice.;1
232;The delivery took more than Two Weeks. And the Items are Spilled Out already.;1
233;1mingguan user sdh total dead tp, tp morbidly led lamp flame like swinging. Tolng solution donk;1
234; Poor poor quality of goods and services There was money to buy ask stains in which, clearly in front, but told me that the place behind the signature words are yellow seat and did not inform honest, give u time to reply, reply to wait three days, and finally said before the seller to stay, you do not know, dumbfounded you sell something to someone else, say you do not know, this is a responsible attitude to do, then you do not want to communicate, you have to respond to a negative comment;1
235;Nothing to say! Buy dried jackfruit but the restaurant is getting milk crumb;1
236;Shop fraud, selling dog meat goat head hanging! Posting and receiving Wi-Pod Department of genuine, local delivery and cheap Jio dom round. Request delivery shall not respond to unilateral approval Shopee 3 days pay. Shopee is unprofessional, not stopped receiving notice near the festival calendar of the shipping, delivery term even without pay;1
237;Close immediately. Not nagana.;1
238;Fragile and easily torn ... inferior product and not worth the price at all ... sorry but i will not order again;1
239;I pesen mask 3 pcs, but gaa no one ever came. Please more carefully, its not a problem rupiah but its mandate.;1
240;The products do not original. The product quality is not good.;1
241;Sorry in love stars 2. Ask kitty 2 minion even though dah dah comment ingetin in private cet Request to order. Karn create more selling Bikin disappointed .. clincher message so do not want to  kannnnn;1
242;Product is good but ordered orange colour. Received blue colour.;1
243;Oky laa .... TPI fabric LPIS sgt;1
244;Shirt size large ??;1
245;Lacking yong order ... I have not yet rreply the seller..nagbayad me correctly tas ung iddelver than me ... oh not to order it again !!! ne I remind you that all the orders I 6pcs bag .. pls check nyo na idouble the order before you ship ... nkaka disappointment ...;1
246;Brg yg ga DTG in the size of that book and the motive jg ga ada yg accordingly ..;1
247;Catoknya broken comb ... live yaa .. Tp nggk hot mw PNAS;1
248;The product quality is not good.;1
249;Misplaced expektasi;1
250;Good stuff but unfortunately broken fitting dbuka uda;1
251;It takes five days to submit its 2019 expiration.;1
252;Tetoooooot ga dikirimin sponge instead send regular spins not create bottle;1
253;Product quality is very poor product quality is very poor. As for 5 thousand in the marketplace. Market seems no honest trade. Too distrust of online purchases;1
254;Nasty quality items and they. .scammersssss;1
255;Not same with pictures,get no full ic;1
256;I'm terrible with money !!!;1
257;black MINTAK given navy.;1
258;Colour is goo.� SMELLS SO BAD  Edit: had such a bad reaction to my lips. Be careful.�;1
259;Skali its small size L.;1
260;Really disappointed who came not morbidly confirmation happycall and seller ...;1
261;Unfavorable product price less good delivery Speed;1
262;Always sing k shell;1
263;This delivery order is only 9, not exactly. But I do not brush my lazy bending returned.;1
264;I'm just not used privately. Blackhead in full;1
265;Doesn�t work. Can�t clean pores;1
266;Buy for M9 plus but they gave me M4 plus, cheat seller;1
267;Pesenya send mustard in black;1
268;Press the button on the box, tea is not. The headset is unilateral No checks before it ..? I do not Switch to the new me ..?;1
269;Fluffy material :(;1
270;Bad experience late package rude deliver guy over  all bad idea to order again but dont get me wrong the quality is ok but I have paid shipment fee that was almost 400 pesos and the seller did not even think of giving freebies or just anything. Bad business ungrateful, i dont like to make business!;1
271;Shoddy goods, rickety, not worth the money, do not support DC camera!;1
272;Deliveries, form signed;1
273;Will never buy from the shop anymore, because the quality is extremely bad, strengthen tomorrow I buy 1 the dress sleeping, I shall request the return then, but thought better of it with the dress is always the ship has more than hundred severance for shop always, now if returned to the post office sent back lost time;1
274;Ok .. hopefully brandnew case hardly the case that many scratches and stains! Nakakadisappoint !!!;1
275;Not suitable color is also wrong;1
276;The accompanying slide rails tough Chinese reading out I just came from China Picture Guide, hard look at its Chinese producers rallied as is.;1
277;disappointed in the following mcm peach shirt bkan huhu;1
278;Taste sour;1
279;Deducted one star needle is sharp and short sore hand.;1
280;Delivery speed is not good. The product quality is not good. Messages sent XL XXL ... Faakkk;1
281;Slow delivery, keep the goods do not correspond to a photo, the seller's response also slow, steady deh ........ !!!!!! :);1
282;Very bad!! You delivered all three design the same of which I�ve chosen a different design! And the colour print is sooo dull. Do not purchase anything from this seller!;1
283;If d use anyway comfortable, padded and glue cm aprox Bleberan kmn2. Pengemasanya too severe, until the outer plastic sy home torn cardboard smpe was kliatan really. And cardboard morbidly in love adhesive so lsg brg trlihat its contents.;1
284;UPDATE AFTER 7 DAYS: HYE I JUST FOUND OUT THAT THE OTHER SPEAKER DOESNT FUNCTION WELL AFTER 7 days and after i click received order :( my brother just told me and he ask me to buy a new one. its so disappointed and im so sad because rm60 is not cheap. i dont know if there are warranty or not.;1
285;Mesan xl size until its size m;1
286;Very poor product quality ..;1
287;The order does not correspond black mesen Dateng color blue make-bable ga warp this old datengnya color blind shop was ambyar;1
288;Sprinkling what skali sma ,, ga ..;1
289;I would like to have a diameter as small as a tomb.;1
290;One item missing was what I really look like nothing more ayan;1
291;abrasive materials;1
292;Box is deformed and torn;1
293;Thank God for the dah book. Sorry to say, at the top that winged books, book covers eroded color, so look like old books. Whatever thank you very much.;1
294;Missing items. Seller hasn�t accepted my request for refund. Will not order again Will not order again Will not order again Will not order again Will not order again Will not order again Will not order again Will not order again Will not order again Will not order again;1
295;Fragile easily distorted, k play well for 1 box decorum. Cover cater pieces pieced patchwork patch. R looks have seen worse. Opens the worse again, buy 5 children- to 3 children have problems. 1 child fragile photos. 2 children, snails whistled k k swivel fitting well. Nt for the shop reflects the rule k trl.lam trach.k responsible eating;1
296;Buy couple, d ed lain2 disappointed. Bilangin ready. abrasive materials;1
297;Check labels exam every other country not ca.nhat fake goods from Chinese to do. However, it is not too bad. Cross splicing simple and crude.;1
298;kcewa. Pegiriman lambat..dan kirain makeup brush set sufficiently in fact given one for Blash on the cheek kcwa banja deh here;1
299;No kwent to the seller. Not rereply properly. Kulang2x done yet sent those items. Not yet refunded. If I do not report to Shopee's not yet be refunded. No act immediately Shopee. In order to dtl shop. Please do me the go-ahead. so disappointed.????;1
300;Colors are sent not in accordance with the order;1
301;Warh pink incoming messages warnh outih tpi gk apalah Pungsinya good mouthful;1
302;The devil seller ... !!! Scammers ... 1) Battery Kembong. 2) there is a remote X mcm in the promo, 3) In a promo but retrievable 900mAh 1050mAh battery ???  Nk crowd Dealers will check the battery x Kembong to X, can use to X..ke main wei Shaaraim, because ... I'm not with the purchase with underarm hair. Bongok..X satisfied no matter PM me;1
303;Goods not come. Less than 1;1
304;Very poor product quality;1
305;Date expired.. increase my job to return back product..;1
306;Messages that led tp ga led flame. disappointed lah;1
307;item's box glass broken . Cannot connect it to the supremo app.;1
308;Mentang2 free postage secure umm ...... packingnya asal2;1
309;Not as expected: '(;1
310;I think lg promo. Usually speckle beyond 10K. Borong aja gk kira2. According taunya price ... The material is hot, slick, gk nyerep keringet;1
311;The seller is a cheater. Don't buy from this seller. Will report this to the shopee center.;1
312;Seller is  not responding. 1 headset is not working, i bought 2 inpods, I haven't open the other one. can someone assist me?! ;1
313;Shop remost missing ship, your understanding and further specify a message for his ship that so far have not seen 3 days, nt always asked not answer.;1
314;Speed ??of delivery is in accordance with the standards of goods from China is approximately 7 days, the product is packed in a plastic bag. Make no impact marks. Product quality is not satisfactory Each ring is a ring no equal. Recommend buying from domestic product will have a better standard.;1
315;Packing sp ko consider the collision between sp leading to broken. Bored Sp bt quality is not so was corrupted.;1
316; Poor product packaging, not sure;1
317;Item doesn't work. It doesn't even charge.;1
318;Baik..lebih seller response is not good title was changed not a dinner plate + spoon set but pretty set spoon + fork + knife just let the other person not wrong order my rich !!!;1
319;sy message three (3) items of goods ... who DTG cm mask;1
320;Delivered goods but lack ib not resolved, there is always online but k Maldives answer!;1
321;Not according to the picture;1
322;I thank shattered, sending without writing and safeguarding fragile fine day, I Komplen to shopee warranty period so not to return money;1
323;Packaging and transportation scuffle, broken lost 6 female;1
324;Msh together with the comments above  Hopefully bs jd mandate :);1
325;Speed ??of delivery is good;1
326;Not complete the ship's seller;1
327;Size with imagination too different 2XL wear with my usual wear as L Had wanted to take a small oversize wear shorts out Now only when wearing pajamas;1
328;Dkrm morbidly purse strings, ktnya want to tuck sy dipesanan Dep nya.sdh No booking jg lg ttp morbidly dkrmkan.ktny want tp ditnya discont discont BRP does not exist anymore ... severe response gara2 rope aja yaaa CMA smpe BYK reason not trustworthy seller lu .pdhl dah subscription dsni;1
329;Unfortunately orders more than 1 pcs but delivered without a single box, consequently many parts that rub against each other so subtle baret_baret;1
330;Duh..pas opened his glass turned out to be already broken ... broken ini..kecewa..kaca buy new passport so can not be used ..;1
331;A second pair of fabric, but by its mess. And I do not think there will be a free lecture one big one. And then there are O Well, it was purchased at a discounted price.;1
332;The product quality is not good. Ask the dikirmnya red color yellow color. Misplaced orders;1
333;Delivery time below expectation;1
334;Hmm .. Good sihh his clothes ,, tapiii yes gtu dah..??????;1
335;Three lights off in spite cable can not use;1
336;Her bag good product tp kok aq pesen his bag 3 er instead only sent two bags aq chat nya.udh his answer simple aja (wait ya kak) p tp udh Dr 2day no news of his stuff when to be sent how sist;1
337;Chard No power is unavailable.;1
338;Goods are sent differ from photograph attached, and no confirmation of the goods before it is sent.;1
339;The earphone can only connect to 1 side  and the other one is no sound at all.;1
340;Glued steel Rani came second time this ... more attracted to an older generation, but dry ..... !! Why is it different colors and two different tube meat is meat glue. Smell the smell was different !! Dry quickly and do not suffer. Adhesive peeling off easy .... It is a fake !!!! do (imitation) .... very disappointing. The order came through around 9 .... What matters !!!;1
341;It's been a very quick response and service of people are selling very fast. But the product, not the result. No cockroaches coming But any informed person Willing to change and manage its I'm busy, lazy people that do not matter.;1
342;Delivery time once pdhl sama2 in sby. Sellers in chat indeterminate response. Dicancel gamau.;1
343; Poor delivery speed, thought missing mail ask for refund finally received in good condition.;1
344;delivery of goods rather thin but cepet heck heck disappointed aga;1
345;Till now has not datag and his old So thank bored menungguu gw aja, tuh eat money gw;1
